Epoch,Accuracy,Sybil %
1,0.42857142857142855,40
2,0.5714285714285714,40
3,0.8571428571428571,40
4,0.7142857142857143,40
5,0.7142857142857143,40
6,0.7142857142857143,40
7,0.7142857142857143,40
8,0.7142857142857143,40
9,0.7142857142857143,40
10,0.7142857142857143,40
11,0.7142857142857143,40
12,0.7142857142857143,40
13,0.7142857142857143,40
14,0.7142857142857143,40
15,0.7142857142857143,40
16,0.7142857142857143,40
17,0.7142857142857143,40
18,0.8571428571428571,40
19,0.8571428571428571,40
20,0.8571428571428571,40
21,0.8571428571428571,40
22,0.8571428571428571,40
23,0.8571428571428571,40
24,0.8571428571428571,40
25,0.8571428571428571,40
26,0.8571428571428571,40
27,0.8571428571428571,40
28,0.8571428571428571,40
29,0.8571428571428571,40
30,0.8571428571428571,40
31,0.8571428571428571,40
32,0.8571428571428571,40
33,0.8571428571428571,40
34,0.8571428571428571,40
35,0.8571428571428571,40
36,0.8571428571428571,40
37,0.8571428571428571,40
38,0.8571428571428571,40
39,0.8571428571428571,40
40,0.8571428571428571,40
41,0.8571428571428571,40
42,0.8571428571428571,40
43,0.8571428571428571,40
44,0.8571428571428571,40
45,0.8571428571428571,40
46,0.8571428571428571,40
47,0.8571428571428571,40
48,0.8571428571428571,40
49,0.8571428571428571,40
50,0.8571428571428571,40
51,0.8571428571428571,40
52,0.8571428571428571,40
53,0.8571428571428571,40
54,0.8571428571428571,40
55,0.7142857142857143,40
56,0.8571428571428571,40
57,0.7142857142857143,40
58,0.7142857142857143,40
59,0.7142857142857143,40
60,0.7142857142857143,40
61,0.7142857142857143,40
62,0.7142857142857143,40
63,0.7142857142857143,40
64,0.7142857142857143,40
65,0.7142857142857143,40
66,0.7142857142857143,40
67,0.7142857142857143,40
68,0.7142857142857143,40
69,0.7142857142857143,40
70,0.7142857142857143,40
71,0.7142857142857143,40
72,0.7142857142857143,40
73,0.7142857142857143,40
74,0.7142857142857143,40
75,0.7142857142857143,40
76,0.7142857142857143,40
77,0.7142857142857143,40
78,0.7142857142857143,40
79,0.7142857142857143,40
80,0.8571428571428571,40
81,0.7142857142857143,40
82,0.7142857142857143,40
83,0.7142857142857143,40
84,0.7142857142857143,40
85,0.7142857142857143,40
86,0.7142857142857143,40
87,0.8571428571428571,40
88,0.7142857142857143,40
89,0.8571428571428571,40
90,0.8571428571428571,40
91,0.8571428571428571,40
92,0.7142857142857143,40
93,0.8571428571428571,40
94,0.8571428571428571,40
95,0.7142857142857143,40
96,0.8571428571428571,40
97,0.8571428571428571,40
98,0.8571428571428571,40
99,0.8571428571428571,40
100,0.8571428571428571,40
