Epoch,Accuracy,Sybil %
1,0.4375,10
2,0.4375,10
3,0.4375,10
4,0.4375,10
5,0.4375,10
6,0.4375,10
7,0.4375,10
8,0.4375,10
9,0.4375,10
10,0.4375,10
11,0.5625,10
12,0.4375,10
13,0.4375,10
14,0.4375,10
15,0.4375,10
16,0.4375,10
17,0.4375,10
18,0.4375,10
19,0.5,10
20,0.4375,10
21,0.4375,10
22,0.5,10
23,0.25,10
24,0.5,10
25,0.3125,10
26,0.25,10
27,0.4375,10
28,0.4375,10
29,0.4375,10
30,0.4375,10
31,0.4375,10
32,0.4375,10
33,0.4375,10
34,0.4375,10
35,0.4375,10
36,0.4375,10
37,0.4375,10
38,0.4375,10
39,0.4375,10
40,0.4375,10
41,0.4375,10
42,0.4375,10
43,0.4375,10
44,0.4375,10
45,0.4375,10
46,0.4375,10
47,0.4375,10
48,0.4375,10
49,0.4375,10
50,0.4375,10
51,0.4375,10
52,0.4375,10
53,0.4375,10
54,0.4375,10
55,0.4375,10
56,0.4375,10
57,0.4375,10
58,0.4375,10
59,0.4375,10
60,0.4375,10
61,0.4375,10
62,0.4375,10
63,0.4375,10
64,0.4375,10
65,0.4375,10
66,0.4375,10
67,0.4375,10
68,0.4375,10
69,0.4375,10
70,0.4375,10
71,0.4375,10
72,0.4375,10
73,0.4375,10
74,0.4375,10
75,0.4375,10
76,0.4375,10
77,0.4375,10
78,0.4375,10
79,0.4375,10
80,0.4375,10
81,0.4375,10
82,0.4375,10
83,0.4375,10
84,0.4375,10
85,0.4375,10
86,0.4375,10
87,0.4375,10
88,0.4375,10
89,0.4375,10
90,0.4375,10
91,0.4375,10
92,0.4375,10
93,0.4375,10
94,0.4375,10
95,0.4375,10
96,0.4375,10
97,0.4375,10
98,0.4375,10
99,0.4375,10
100,0.4375,10
