Epoch,Accuracy,Sybil %
1,0.625,30
2,0.625,30
3,0.625,30
4,0.625,30
5,0.625,30
6,0.625,30
7,0.625,30
8,0.625,30
9,0.625,30
10,0.625,30
11,0.625,30
12,0.625,30
13,0.625,30
14,0.625,30
15,0.625,30
16,0.625,30
17,0.625,30
18,0.625,30
19,0.625,30
20,0.625,30
21,0.625,30
22,0.625,30
23,0.625,30
24,0.625,30
25,0.625,30
26,0.625,30
27,0.625,30
28,0.625,30
29,0.625,30
30,0.625,30
31,0.625,30
32,0.625,30
33,0.625,30
34,0.625,30
35,0.625,30
36,0.625,30
37,0.625,30
38,0.625,30
39,0.625,30
40,0.625,30
41,0.625,30
42,0.625,30
43,0.625,30
44,0.625,30
45,0.625,30
46,0.625,30
47,0.625,30
48,0.625,30
49,0.625,30
50,0.625,30
51,0.625,30
52,0.625,30
53,0.625,30
54,0.625,30
55,0.625,30
56,0.625,30
57,0.625,30
58,0.625,30
59,0.625,30
60,0.625,30
61,0.625,30
62,0.625,30
63,0.625,30
64,0.625,30
65,0.625,30
66,0.625,30
67,0.625,30
68,0.625,30
69,0.625,30
70,0.625,30
71,0.625,30
72,0.625,30
73,0.625,30
74,0.625,30
75,0.625,30
76,0.625,30
77,0.625,30
78,0.625,30
79,0.625,30
80,0.625,30
81,0.625,30
82,0.625,30
83,0.625,30
84,0.625,30
85,0.625,30
86,0.625,30
87,0.625,30
88,0.625,30
89,0.625,30
90,0.625,30
91,0.625,30
92,0.625,30
93,0.625,30
94,0.625,30
95,0.625,30
96,0.625,30
97,0.625,30
98,0.625,30
99,0.625,30
100,0.625,30
