Epoch,Accuracy
1,0.65
2,0.72
3,0.69
4,0.76
5,0.73
6,0.78
7,0.81
8,0.79
9,0.84
10,0.82
11,0.85
12,0.88
13,0.86
14,0.89
15,0.91
16,0.88
17,0.92
18,0.95
19,0.92
20,0.96
21,0.94
22,0.97
23,0.95
24,0.98
25,0.97
26,0.99
27,0.98
28,0.99
29,0.99
30,0.99
31,0.99
32,0.99
33,0.99
34,0.99
35,0.99
36,0.99
37,0.99
38,0.99
39,0.99
40,0.99
41,0.99
42,0.99
43,0.99
44,0.99
45,0.99
46,0.99
47,0.99
48,0.99
49,0.99
50,0.99
51,0.99
52,0.99
53,0.99
54,0.99
55,0.99
56,0.99
57,0.99
58,0.99
59,0.99
60,0.99
61,0.99
62,0.99
63,0.99
64,0.99
65,0.99
66,0.99
67,0.99
68,0.99
69,0.99
70,0.99
71,0.99
72,0.99
73,0.99
74,0.99
75,0.99
76,0.99
77,0.99
78,0.99
79,0.99
80,0.99
81,0.99
82,0.99
83,0.99
84,0.99
85,0.99
86,0.99
87,0.99
88,0.99
89,0.99
90,0.99
91,0.99
92,0.99
93,0.99
94,0.99
95,0.99
96,0.99
97,0.99
98,0.99
99,0.99
100,0.99
